constituent_id,name,birthdate,status,days_in_status,spouse_name,spouse_birthdate,fundraiser_id,capacity_rating,city,state,class_year
17,Mr. Prescott J. Taylor Jr.,1944-04-12,Identification,79,,,1,$100K-$249K,Singapore,SG,1996
18,Scott Wilson,1956-02-04,Solicitation,313,Mrs. Brenda G. Foster Jr.,1953-11-21,1,$100K-$249K,Toronto,Canada,
19,Stephen L. Sutton,1980-05-06,Cultivation,542,Christina Anderson,1984-03-18,1,$50K-$99K,San Francisco,CA,1985
20,David Clark,1982-02-12,Cultivation,663,Michelle Walker,1951-07-01,1,$50K-$99K,Washington,DC,1983
21,Mr. Heather Bancroft III,1954-04-27,Solicitation,265,Brandon Chen,1954-01-22,1,$100K-$249K,Phoenix,AZ,1983
22,Tyler Whitmore II,1961-01-04,Qualification,147,Mrs. Eugenia King,1946-10-14,1,$50K-$99K,Portland,OR,1982
23,Ms. Shirley P. Smith II,1974-11-24,Cultivation,291,Adam L. Gray Jr.,1982-02-24,1,$1M+,Atlanta,GA,
24,Prof. Beaumont P. Castillo Sr.,1983-12-06,Cultivation,720,Prof. Joyce Smith,1958-04-14,1,$250K-$499K,Austin,TX,2000
25,Jean Langford,1982-02-10,Cultivation,617,,,1,$100K-$249K,Richmond,VA,2001
26,Ms. Ronald B. Young III,1979-02-15,Cultivation,514,,,1,$250K-$499K,Phoenix,AZ,
27,Ms. Donna Smith,1967-04-06,Cultivation,620,,,1,$250K-$499K,San Diego,CA,1997
28,Thaddeus Wood Jr.,1968-10-27,Qualification,272,Reginald F. Worthington III,1968-05-25,1,$500K-$999K,Hartford,CT,2002
29,Prof. Douglas K. Walker,1961-06-18,Qualification,55,,,1,$250K-$499K,Albany,NY,1976
30,Frank Collins,1953-07-13,Cultivation,688,Dr. Constance A. Rivera,1964-07-18,1,$50K-$99K,Miami,FL,1996
31,Harold L. Castillo Sr.,1950-08-05,Solicitation,348,Michael Chavez,1945-11-14,1,$500K-$999K,Albany,NY,1991
32,Raymond Carter,1966-05-27,Qualification,55,John Miller Jr.,1954-11-03,1,$50K-$99K,Austin,TX,2003
33,Dr. Michelle S. Castillo,1976-04-15,Identification,72,Joshua Worthington,1950-05-04,1,$50K-$99K,Phoenix,AZ,1981
34,Ms. Lisa Thornton,1946-12-25,Cultivation,398,Mr. Barnard Hall II,1967-11-12,1,$500K-$999K,San Diego,CA,2003
35,Judith Morales,1973-11-09,Cultivation,720,Frances J. Adams,1945-05-15,1,$500K-$999K,Albany,NY,1991
36,Brian M. Kingsford,1961-05-20,Cultivation,372,Robert Harris,1955-12-14,1,$250K-$499K,Baltimore,MD,1977
37,Dr. Betty N. Myers,1959-11-19,Solicitation,218,,,1,$100K-$249K,Albany,NY,1995
38,Brenda H. Thomas,1960-02-24,Cultivation,638,Mrs. Stephanie S. Scott II,1978-05-04,1,$1M+,Hong Kong,HK,
39,Steven B. Cox,1984-03-21,Qualification,265,Mr. Patricia Ortiz III,1968-06-06,1,$100K-$249K,Raleigh,NC,
40,Cheryl B. Martin,1976-05-03,Qualification,141,,,1,$500K-$999K,Atlanta,GA,1988
41,Virginia Hill Sr.,1959-10-20,Cultivation,151,,,1,$250K-$499K,Charlotte,NC,2009
42,Mr. George W. Martinez,1940-07-15,Identification,159,Justin K. Ross,1984-08-03,1,$250K-$499K,Miami,FL,1978
43,Cynthia Mensah,1949-02-02,Solicitation,114,,,1,$100K-$249K,Dallas,TX,2000
44,Helen Wright II,1974-08-15,Solicitation,71,,,1,$100K-$249K,Nashville,TN,1989
45,Dr. Jonathan Blackwell,1970-09-21,Solicitation,256,Prof. Brian Morales III,1945-08-12,1,$100K-$249K,Boston,MA,1982
46,Emma Phillips II,1942-08-03,Cultivation,412,Prof. Samuel N. Beaumont II,1940-11-28,1,$500K-$999K,Baltimore,MD,1988
47,Dr. Timothy E. Abubakar,1968-12-16,Identification,38,,,1,$100K-$249K,Albany,NY,2002
48,Dr. Beaumont H. Whitmore,1969-02-21,Cultivation,247,Justin Wright Sr.,1970-08-08,1,$50K-$99K,Denver,CO,1971
49,Mrs. Karen P. Baker II,1957-01-10,Cultivation,395,,,1,$500K-$999K,London,UK,
50,Gregory W. Carter III,1960-04-23,Cultivation,334,,,1,$250K-$499K,Seattle,WA,1976
51,Dennis Langford,1971-01-05,Stewardship,1088,,,1,$100K-$249K,Austin,TX,
52,Patricia Evans,1944-08-26,Cultivation,361,Julie Bancroft Jr.,1983-09-13,1,$50K-$99K,Richmond,VA,
53,Dr. Karen K. Robinson,1967-02-25,Cultivation,192,,,1,$500K-$999K,Albany,NY,2006
54,Prof. Janet E. Young II,1966-10-22,Qualification,106,,,1,$50K-$99K,Austin,TX,1967
55,Mrs. Kathleen J. Rogers,1982-01-26,Cultivation,566,,,1,$100K-$249K,Phoenix,AZ,
56,Prof. Jose Rogers,1952-07-28,Cultivation,584,,,1,$50K-$99K,Richmond,VA,1986
57,Stephen B. Mensah III,1958-04-20,Cultivation,450,Ms. Edward Sanders,1980-02-21,1,$100K-$249K,Nashville,TN,1981
58,Mr. Nicole P. Thompson,1948-09-12,Solicitation,301,,,1,$50K-$99K,St. Louis,MO,1979
59,Prof. Raymond Gutierrez,1949-04-28,Stewardship,873,,,1,$50K-$99K,Providence,RI,
60,Margaret J. Brooks Sr.,1980-06-04,Solicitation,375,Ms. Walter W. Adams,1981-02-21,1,$100K-$249K,Columbus,OH,
61,Dr. Barbara S. Anderson,1955-09-05,Stewardship,855,Patrick Worthington II,1966-10-24,1,$50K-$99K,Indianapolis,IN,1988
62,Prof. William Ramirez III,1968-04-28,Cultivation,461,,,1,$500K-$999K,Indianapolis,IN,2005
63,Prof. Edward Aldridge III,1945-11-07,Cultivation,701,Dr. Richard Young,1976-04-03,1,$500K-$999K,Pittsburgh,PA,
64,Mrs. James E. Taylor II,1956-03-04,Cultivation,116,Mrs. Patricia H. Chavez Jr.,1941-03-09,1,$100K-$249K,Charlotte,NC,2009
65,Jean Cook II,1954-10-02,Cultivation,623,,,1,$50K-$99K,Los Angeles,CA,2003
66,Sandra R. Martinez,1960-10-05,Disqualified,47,,,1,$50K-$99K,Providence,RI,2001
67,Nicole P. Gonzalez,1981-11-25,Cultivation,654,Ms. Adam H. Evans Jr.,1969-07-14,1,$100K-$249K,Austin,TX,1982
68,Karen C. Lopez Sr.,1946-12-24,Cultivation,471,,,1,$250K-$499K,St. Louis,MO,
69,Mr. Victoria P. Chen,1958-10-10,Cultivation,450,,,1,$100K-$249K,Hong Kong,HK,1994
70,Montgomery J. Watson,1967-09-25,Qualification,332,,,1,$250K-$499K,Charlotte,NC,2003
71,Prof. Samantha Hall,1951-03-19,Cultivation,500,Mr. Andrew Brown,1973-04-13,1,$100K-$249K,Portland,OR,1983
72,Mr. Jessica B. Sanders,1957-08-22,Qualification,231,,,1,$50K-$99K,Austin,TX,1990
73,Mark S. Howard,1942-04-13,Cultivation,703,Dr. Mary G. Sutton,1956-05-11,1,$50K-$99K,London,UK,1993
74,Ms. Arthur Castillo Jr.,1944-07-28,Solicitation,51,,,1,$50K-$99K,San Diego,CA,1991
75,Henry N. Williams Jr.,1950-10-15,Stewardship,801,,,1,$500K-$999K,Singapore,SG,1968
76,Prof. Raymond F. Martinez II,1980-02-17,Qualification,275,Ms. Carolyn E. Walker,1949-05-07,1,$100K-$249K,Toronto,Canada,1971
77,Zachary Blackwell III,1983-10-21,Solicitation,355,,,1,$250K-$499K,Minneapolis,MN,
78,Mr. Walter K. Langford,1977-01-12,Cultivation,609,Mr. Samantha B. Davis Jr.,1958-02-21,1,$1M+,Austin,TX,
79,David G. Adams III,1972-03-02,Stewardship,982,Mr. Rachel Hernandez II,1981-03-02,1,$100K-$249K,London,UK,1990
80,Prof. Diane L. Sanders,1980-11-11,Disqualified,47,Matthew Roberts,1956-12-28,1,$100K-$249K,Denver,CO,2000
81,Samantha Long Sr.,1948-10-23,Stewardship,233,,,1,$50K-$99K,Dubai,UAE,1986
82,Betty Stewart II,1963-01-12,Cultivation,406,,,1,$50K-$99K,Washington,DC,1975
83,Mrs. Michelle D. Bailey II,1973-01-22,Cultivation,434,Mrs. Jack F. Thornton,1968-01-14,1,$250K-$499K,Dallas,TX,2008
84,Kathleen Flores III,1952-06-22,Qualification,306,,,1,$100K-$249K,Nashville,TN,
85,Carol Kingsford,1956-01-21,Cultivation,582,,,1,$50K-$99K,San Diego,CA,
86,Prof. Nancy Wright III,1972-03-27,Cultivation,537,,,2,$50K-$99K,Toronto,Canada,1976
87,Arthur N. Hernandez Jr.,1954-01-11,Solicitation,80,Donna K. Diallo III,1984-03-25,2,$500K-$999K,Boston,MA,1990
88,Mrs. Reginald James II,1967-02-25,Cultivation,385,Ms. Helen H. Collins III,1944-02-27,2,$500K-$999K,Boston,MA,
89,Mrs. Justin M. Walker Sr.,1951-11-22,Cultivation,177,,,2,$50K-$99K,London,UK,1985
90,Beaumont S. Garcia Sr.,1963-05-24,Identification,11,,,2,$100K-$249K,London,UK,1966
91,Paul W. Baker,1983-08-23,Cultivation,580,,,2,$250K-$499K,Philadelphia,PA,1970
92,Ms. Susan Nguyen,1960-05-17,Identification,108,Jean G. Torres Jr.,1943-11-11,2,$250K-$499K,Hartford,CT,1985
93,Raymond Peterson III,1963-09-09,Cultivation,174,,,2,$100K-$249K,Richmond,VA,1967
94,Anthony K. Flores III,1978-12-14,Cultivation,260,,,2,$1M+,Minneapolis,MN,1984
95,Stephen Langford,1944-11-21,Cultivation,505,,,2,$250K-$499K,Pittsburgh,PA,2009
96,William H. Pemberton Jr.,1963-07-19,Cultivation,123,,,2,$1M+,Seattle,WA,2005
97,Mrs. Thaddeus L. Price,1955-02-01,Cultivation,280,,,2,$100K-$249K,Richmond,VA,1986
98,Ms. Emma Cooper,1947-03-28,Stewardship,211,,,2,$50K-$99K,Detroit,MI,2007
99,Mr. Reginald Zhang,1950-12-23,Cultivation,268,,,2,$50K-$99K,Austin,TX,1994
100,Michael M. Gutierrez II,1948-10-03,Qualification,47,Prof. Julie Jimenez III,1973-07-25,2,$1M+,Washington,DC,1998
101,Gregory W. Ruiz,1948-07-17,Identification,21,,,2,$1M+,Los Angeles,CA,
102,Ms. Gregory Kelly,1945-05-07,Cultivation,654,Prof. Steven Bennett II,1945-09-21,2,$50K-$99K,Denver,CO,1999
103,Dr. Linda J. Price,1976-07-20,Qualification,341,,,2,$250K-$499K,Baltimore,MD,2002
104,Scott B. Lee III,1966-08-15,Cultivation,298,,,2,$100K-$249K,Raleigh,NC,1971
105,Mrs. Patrick Wilson Jr.,1955-08-04,Cultivation,363,,,2,$250K-$499K,Pittsburgh,PA,1971
106,Angela Okafor,1960-10-24,Identification,87,,,2,$50K-$99K,San Diego,CA,1972
107,Jennifer N. Bailey III,1955-04-19,Cultivation,451,,,2,$100K-$249K,Albany,NY,1980
108,Dr. Sandra J. Whitfield Jr.,1965-06-02,Cultivation,500,Dr. Clifton Campbell II,1958-02-13,2,$500K-$999K,Providence,RI,1997
109,Mr. Jerry L. Ward Jr.,1949-04-20,Qualification,274,Arthur B. Moore Jr.,1970-09-15,2,$1M+,Atlanta,GA,1994
110,Prof. Rosalind T. Ramos III,1985-10-10,Qualification,257,Dr. Patrick D. Collins,1984-11-01,2,$500K-$999K,Austin,TX,1978
111,Dr. Harriet T. Mendoza Sr.,1949-11-08,Disqualified,30,,,2,$250K-$499K,Dubai,UAE,2006
112,Timothy S. Chen,1985-03-17,Identification,60,Christine Morgan II,1964-06-06,2,$50K-$99K,Austin,TX,1996
113,Ms. Angela K. Lewis,1958-12-07,Cultivation,590,,,2,$100K-$249K,Detroit,MI,1984
114,Heather Turner Jr.,1949-05-02,Cultivation,384,Mr. Gregory Price,1970-04-07,2,$500K-$999K,Portland,OR,
115,Ms. Jacob T. Lewis,1943-02-14,Qualification,183,Dorothy Moore,1975-03-14,2,$100K-$249K,Portland,OR,1992
116,Dr. Daniel Robinson II,1942-03-14,Cultivation,270,Dr. Julie White,1942-01-10,2,$50K-$99K,Nashville,TN,1968
117,Eston E. Aldridge II,1969-05-07,Stewardship,290,,,2,$50K-$99K,Hartford,CT,2008
118,Nicole Ashworth,1951-10-28,Cultivation,505,Jean N. Castillo,1951-03-16,2,$50K-$99K,Minneapolis,MN,1977
119,Helen Watson,1956-11-12,Identification,67,,,2,$100K-$249K,Richmond,VA,1969
120,Prof. Donald Nguyen Jr.,1979-04-08,Cultivation,226,,,2,$50K-$99K,London,UK,1991
121,Prescott Holloway,1955-11-25,Solicitation,335,,,2,$100K-$249K,Indianapolis,IN,
122,Mr. Sarah Okafor II,1952-10-18,Identification,45,Mrs. Christine Murphy,1983-04-23,2,$100K-$249K,St. Louis,MO,1967
123,Henry B. Ward III,1983-05-24,Stewardship,104,,,2,$100K-$249K,San Francisco,CA,1962
124,Mr. Harrington Zhang,1970-01-10,Solicitation,239,,,2,$100K-$249K,Chicago,IL,1970
125,Peter Mensah Sr.,1964-02-22,Solicitation,368,Paul Hall,1951-09-13,2,$1M+,Indianapolis,IN,2008
126,Whitfield N. Holloway,1955-08-12,Disqualified,93,,,2,$500K-$999K,Boston,MA,2008
127,Dr. Amy D. Wood,1968-10-22,Solicitation,390,,,2,$50K-$99K,Indianapolis,IN,
128,Ms. Joseph K. Robinson Jr.,1976-10-25,Qualification,358,Gary E. Alvarez II,1954-07-10,2,$50K-$99K,Richmond,VA,1997
129,Montgomery M. Hughes Sr.,1973-06-23,Stewardship,912,,,2,$500K-$999K,Minneapolis,MN,1981
130,Ms. Scott Jackson III,1943-09-14,Cultivation,516,Thaddeus H. Allen,1961-11-03,2,$250K-$499K,Providence,RI,
131,David Harris II,1953-08-07,Stewardship,741,Prof. Patricia G. Harrington,1970-04-23,2,$50K-$99K,Dallas,TX,1975
132,Evelyn Rivera,1956-06-17,Cultivation,599,,,2,$50K-$99K,Austin,TX,2008
133,Susan Lewis,1941-05-18,Cultivation,688,Nicole L. Robinson Sr.,1976-04-16,2,$500K-$999K,Miami,FL,2005
134,Judith M. Perez,1974-08-06,Cultivation,645,,,2,$250K-$499K,Albany,NY,
135,Dr. Mary H. Rodriguez,1940-04-17,Disqualified,247,,,2,$100K-$249K,Los Angeles,CA,2001
136,Dr. Mary Evans,1941-09-24,Cultivation,371,,,2,$500K-$999K,Providence,RI,1980
137,Mrs. Sandra Howard,1955-04-20,Identification,141,,,2,$250K-$499K,Louisville,KY,1984
138,Barnard H. Hill,1981-11-25,Qualification,30,,,2,$100K-$249K,St. Louis,MO,1986
139,Mr. Alice Hughes Jr.,1976-02-17,Cultivation,133,,,2,$100K-$249K,New York,NY,2006
140,Prof. Whitfield Jones,1960-01-07,Stewardship,355,,,2,$100K-$249K,Chicago,IL,2007
141,Ms. Clifton Roberts II,1961-07-25,Solicitation,101,Mr. Arthur Hall,1946-07-08,2,$500K-$999K,Raleigh,NC,
142,Linda Ashford III,1971-04-12,Cultivation,656,,,2,$250K-$499K,Columbus,OH,
143,Prof. Angela Hernandez,1949-07-23,Cultivation,247,Katherine C. Smith,1968-06-25,2,$250K-$499K,San Diego,CA,1970
144,Anthony M. Cox,1978-10-26,Identification,90,,,2,$100K-$249K,Hong Kong,HK,
145,Jacob Perez Sr.,1950-03-09,Identification,84,,,2,$100K-$249K,Houston,TX,1971
146,Mr. Alexander H. Jimenez III,1978-10-07,Identification,124,Mr. Paul N. Nelson Sr.,1961-08-11,2,$100K-$249K,Indianapolis,IN,2003
147,Ms. Kyle N. Green,1984-11-16,Disqualified,308,,,2,$50K-$99K,Austin,TX,1982
148,Ms. Rosalind White II,1941-12-15,Cultivation,304,Justin Rodriguez Sr.,1983-08-05,2,$250K-$499K,Columbus,OH,1977
149,Mr. Peter Morgan Sr.,1974-09-28,Qualification,228,,,2,$50K-$99K,Louisville,KY,1985
150,Ms. Frank B. Richardson Sr.,1961-07-04,Solicitation,35,Mr. Eric T. Ward,1968-06-13,2,$250K-$499K,Houston,TX,2005
151,Anthony C. Anderson,1962-05-11,Cultivation,556,,,2,$100K-$249K,Pittsburgh,PA,1995
152,Katherine B. Wentworth,1941-06-21,Cultivation,201,,,2,$100K-$249K,Richmond,VA,1972
153,Mrs. Frank Gutierrez,1965-11-06,Stewardship,441,Julie G. Cook Sr.,1964-01-23,2,$250K-$499K,Toronto,Canada,1979
154,Deborah G. Rogers,1956-11-28,Solicitation,280,,,2,$250K-$499K,Los Angeles,CA,2002
155,Frank Gray,1983-12-26,Cultivation,394,,,2,$100K-$249K,Columbus,OH,
156,Prof. Ashley E. Reed Sr.,1966-10-05,Cultivation,678,Jose W. Myers,1975-03-16,2,$250K-$499K,Austin,TX,1973
157,Dr. Harold N. Ward II,1981-08-14,Cultivation,593,,,2,$100K-$249K,San Francisco,CA,1990
158,Ms. Justin H. Ramos,1950-08-19,Cultivation,597,,,2,$50K-$99K,Boston,MA,1969
159,Harrington Garcia III,1974-04-14,Cultivation,194,,,2,$50K-$99K,Sydney,Australia,2003
160,Daniel D. Pemberton,1953-12-19,Solicitation,382,,,2,$50K-$99K,Chicago,IL,2007
161,Ms. Sarah Ramos,1978-09-06,Cultivation,421,,,2,$100K-$249K,Washington,DC,
162,Mr. Paul Ashford Sr.,1943-05-28,Qualification,349,,,2,$100K-$249K,London,UK,1970
163,Cheryl J. Mendoza Sr.,1964-08-03,Qualification,338,,,2,$250K-$499K,Phoenix,AZ,1967
164,Christine Chen,1969-11-22,Cultivation,456,,,2,$250K-$499K,St. Louis,MO,
165,Jonathan K. Baker II,1976-03-19,Solicitation,278,,,2,$100K-$249K,Louisville,KY,2005
166,Mrs. Douglas P. Sanchez,1981-05-06,Solicitation,170,Mr. Alexander M. Castillo,1943-07-21,2,$50K-$99K,Hartford,CT,2006
167,Dr. Jason E. Chavez,1973-11-15,Solicitation,34,,,2,$100K-$249K,Houston,TX,1983
168,Charles C. Whitfield,1946-06-12,Solicitation,183,,,2,$1M+,Louisville,KY,1970
169,Dr. Joshua G. Mendoza,1966-10-22,Cultivation,543,,,2,$250K-$499K,Los Angeles,CA,
170,Carolyn Green,1955-05-21,Identification,28,,,2,$50K-$99K,Atlanta,GA,2000
171,Prof. Timothy Reed,1965-05-21,Cultivation,145,,,2,$100K-$249K,Boston,MA,1977
172,Mr. Thaddeus Johnson Jr.,1960-03-13,Cultivation,672,,,2,$50K-$99K,Albany,NY,1996
173,Mr. Patricia B. Abubakar,1965-09-10,Solicitation,351,Henry N. Hernandez II,1974-10-05,2,$250K-$499K,Los Angeles,CA,1981
174,Marguerite Thornton,1959-12-14,Identification,68,,,2,$500K-$999K,Seattle,WA,1967
175,Mrs. Donald E. Long,1950-08-12,Stewardship,590,Mrs. Maria J. Whitfield,1941-06-26,2,$50K-$99K,San Francisco,CA,1995
176,Nathan Davis III,1976-03-12,Identification,47,,,2,$250K-$499K,Singapore,SG,1968
177,James A. Young,1970-06-13,Stewardship,367,Mrs. Barbara Mensah Sr.,1954-06-08,2,$250K-$499K,Atlanta,GA,2008
178,Jessica T. Garcia Sr.,1944-08-28,Cultivation,379,Prof. Christine R. Johnson Jr.,1952-05-19,3,$250K-$499K,Singapore,SG,2009
179,Ms. Whitfield Young,1940-07-01,Cultivation,328,,,3,$100K-$249K,Dubai,UAE,2002
180,Brandon T. Walker Sr.,1971-01-05,Stewardship,633,Mr. Susan Zhang II,1966-12-12,3,$500K-$999K,Baltimore,MD,2009
181,Lisa Davis Sr.,1982-03-08,Identification,81,,,3,$50K-$99K,Washington,DC,1982
182,Prof. Kathleen G. Moore,1949-02-06,Stewardship,980,Benjamin W. Rivera,1968-05-15,3,$100K-$249K,Austin,TX,1969
183,Dr. Laura Adams,1945-12-08,Identification,98,,,3,$250K-$499K,Raleigh,NC,1965
184,Virginia Cox,1946-08-04,Cultivation,233,Mr. Patricia H. Taylor,1965-06-22,3,$50K-$99K,Minneapolis,MN,2003
185,Mr. Ronald Murphy,1945-06-04,Identification,17,Richard P. Holloway Sr.,1971-01-13,3,$100K-$249K,Los Angeles,CA,1973
186,Mrs. William Bennett,1981-05-16,Cultivation,511,Kyle J. Roberts,1966-04-21,3,$500K-$999K,Portland,OR,
187,Janet S. Hall II,1960-07-09,Cultivation,274,,,3,$100K-$249K,Sydney,Australia,2000
188,Thaddeus H. Lee,1955-11-08,Qualification,150,Joseph Lewis Sr.,1962-03-06,3,$500K-$999K,Portland,OR,1982
189,Clifton Richardson,1971-09-10,Solicitation,119,Barbara H. James,1941-09-16,3,$250K-$499K,Dubai,UAE,2001
190,Sarah E. Pemberton,1973-06-03,Qualification,205,,,3,$50K-$99K,Minneapolis,MN,2004
191,Mrs. Ruth Cooper Jr.,1951-12-18,Cultivation,718,Cynthia Fairbanks,1964-05-24,3,$50K-$99K,Raleigh,NC,1970
192,Dr. Brian Diallo,1980-10-04,Qualification,268,Mrs. Frank Walker Jr.,1960-03-21,3,$50K-$99K,Singapore,SG,
193,Prof. Sharon C. Hall,1946-12-01,Identification,19,,,3,$250K-$499K,Baltimore,MD,2008
194,Carolyn Gonzalez III,1976-11-25,Cultivation,320,,,3,$50K-$99K,Indianapolis,IN,1966
195,Mr. Charles N. Lee,1975-02-11,Solicitation,334,Linda F. James Sr.,1950-01-04,3,$50K-$99K,Boston,MA,1974
196,Prof. Scott B. Turner II,1971-03-02,Cultivation,459,Dr. Christina S. Sanchez,1941-04-06,3,$100K-$249K,Sydney,Australia,1967
197,Prof. Betty Roberts,1963-07-12,Cultivation,281,,,3,$50K-$99K,Columbus,OH,1978
198,Mrs. Matthew M. Wentworth II,1966-10-08,Cultivation,656,,,3,$50K-$99K,Portland,OR,1986
199,Miriam Ortiz,1945-07-28,Solicitation,395,,,3,$100K-$249K,Sydney,Australia,1998
200,Kevin Perez,1952-03-02,Stewardship,927,Mr. Ruth E. Thornton,1960-12-26,3,$250K-$499K,Seattle,WA,1986
201,Dr. Marguerite Collins,1966-03-05,Cultivation,670,,,3,$100K-$249K,Portland,OR,1968
202,Gregory King Sr.,1981-08-19,Stewardship,1028,,,3,$100K-$249K,Philadelphia,PA,1979
203,Gary S. Diallo,1963-01-11,Cultivation,400,Prof. Pamela Bancroft,1954-03-10,3,$100K-$249K,Columbus,OH,
204,Mr. Edward P. Harrington III,1973-06-27,Cultivation,147,,,3,$250K-$499K,Portland,OR,1972
205,Clifton G. Park,1943-04-02,Identification,123,Dr. Alexander Scott Jr.,1969-09-13,3,$250K-$499K,Columbus,OH,1969
206,Mrs. Jean Hall Jr.,1950-05-24,Solicitation,382,,,3,$50K-$99K,Albany,NY,1963
207,Ms. Jeffrey Sanders,1957-11-14,Cultivation,615,,,3,$50K-$99K,Singapore,SG,2005
208,Dr. Cynthia K. Foster,1967-07-28,Identification,96,,,3,$500K-$999K,Minneapolis,MN,1975
209,Dr. Gerald Whitmore Jr.,1975-11-20,Cultivation,713,,,3,$250K-$499K,Columbus,OH,2005
210,Prof. Eric Zhang,1952-03-17,Identification,68,,,3,$50K-$99K,Portland,OR,
211,Mrs. Michael Nguyen,1966-07-13,Solicitation,48,,,3,$250K-$499K,Columbus,OH,1998
212,Janet Aldridge,1982-09-06,Solicitation,180,,,3,$50K-$99K,Charlotte,NC,1970
213,Mrs. Debra Lewis Jr.,1954-12-28,Solicitation,187,,,3,$250K-$499K,Hong Kong,HK,1983
214,Jessica Brooks,1970-04-17,Cultivation,212,,,3,$100K-$249K,Hartford,CT,
215,Mrs. Emily Baker Sr.,1976-08-05,Cultivation,413,,,3,$50K-$99K,San Francisco,CA,
216,Mrs. Benjamin Smith III,1957-04-25,Qualification,100,,,3,$50K-$99K,Baltimore,MD,1972
217,Christina S. Roberts,1942-09-07,Cultivation,472,Dr. Samuel Howard,1941-11-01,3,$250K-$499K,Houston,TX,1977
218,Arthur Perez,1942-05-10,Qualification,247,Eston E. Baker III,1962-04-06,3,$500K-$999K,Raleigh,NC,
219,Mrs. Jason Chavez II,1950-02-12,Stewardship,136,Shirley Gray,1978-01-22,3,$100K-$249K,Charlotte,NC,1963
220,Nicholas E. Clark,1959-07-22,Identification,32,Brenda Long,1966-02-17,3,$50K-$99K,Richmond,VA,1969
221,Ms. Anna Sanchez Jr.,1985-07-10,Qualification,96,Dr. Reginald G. Myers III,1961-04-01,3,$250K-$499K,Albany,NY,1967
222,Mr. Gerald D. Okafor,1981-04-15,Stewardship,666,Prof. Zachary F. Chen,1958-06-26,3,$500K-$999K,Albany,NY,1989
223,Mrs. Amanda R. Gray,1945-06-27,Solicitation,205,Mrs. Ashley R. Wright Sr.,1984-08-26,3,$50K-$99K,Chicago,IL,1972
224,Mrs. Anthony S. Kingsford III,1951-10-13,Identification,98,,,3,$250K-$499K,San Francisco,CA,2005
225,Mark Murphy,1944-05-21,Stewardship,703,,,3,$250K-$499K,Washington,DC,2005
226,Roger Long,1967-11-24,Cultivation,344,Gregory Hughes Sr.,1949-09-20,3,$250K-$499K,Singapore,SG,2003
227,Mrs. Lisa Adams,1961-05-02,Stewardship,516,,,3,$100K-$249K,Providence,RI,1986
228,Daniel Cook Jr.,1947-08-24,Cultivation,108,,,3,$50K-$99K,Hartford,CT,1988
229,Prof. Gerald Price III,1961-06-27,Identification,20,,,3,$100K-$249K,Houston,TX,
230,Virginia H. Smith Jr.,1962-11-26,Stewardship,657,,,3,$50K-$99K,Providence,RI,1985
231,Sandra G. Harris,1965-04-15,Solicitation,127,,,3,$50K-$99K,Denver,CO,1968
232,Judith Bailey,1971-01-17,Solicitation,54,Adam Morgan II,1951-12-19,3,$50K-$99K,Dubai,UAE,1970
233,Kelly Diallo,1957-07-11,Identification,82,,,3,$250K-$499K,Austin,TX,1970
234,Benjamin Cox,1952-04-20,Qualification,162,Kimberly Price,1972-09-23,3,$100K-$249K,London,UK,2007
235,Cornelius P. Wentworth,1973-02-01,Identification,104,,,3,$100K-$249K,Providence,RI,2004
